figure,panel,dataset_directory,condition,slot,map_id,source_id,selection
terrain_geometry,Slab,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/034__v7-fnd-slab-adjacent,v7-fnd-slab-adjacent,26,v8:train:v7-fnd-slab-adjacent:0025,v7-dig:2bdefbda5fdf62a64c19cafd0ea7538687e162b12b645b23e810c03cdc9f11c6,upper median dig area within training condition; slot breaks ties
terrain_geometry,Irregular footprint,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/035__v7-fnd-irregular-adjacent,v7-fnd-irregular-adjacent,15,v8:train:v7-fnd-irregular-adjacent:0014,v7-dig:f9c675ac4750663de468c6bc94640fa55fcbe5cc9d0247d6ba3252994cbcdea1,upper median dig area within training condition; slot breaks ties
terrain_geometry,Courtyard,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/036__v7-fnd-courtyard-adjacent,v7-fnd-courtyard-adjacent,22,v8:train:v7-fnd-courtyard-adjacent:0021,v7-dig:a6eca5e4eccde72255e224bd40d73d29ce9b1c0df92a789db66eed12ebad39ac,upper median dig area within training condition; slot breaks ties
terrain_geometry,Perimeter + bearing walls,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/037__v7-fnd-bearing-walls-adjacent,v7-fnd-bearing-walls-adjacent,45,v8:train:v7-fnd-bearing-walls-adjacent:0044,v7-dig:83b6982f10b8284b079cc6d6551ffdab778d4b31e68d5fd8f9052b0053fe4b0a,upper median dig area within training condition; slot breaks ties
terrain_geometry,Disconnected pads,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/038__v7-fnd-pads-adjacent,v7-fnd-pads-adjacent,71,v8:train:v7-fnd-pads-adjacent:0070,v7-dig:3d67dddf4f7257c5b737d7d32c7b0f3d5d5ceebd761ef13d79286824980a9ea4,upper median dig area within training condition; slot breaks ties
terrain_geometry,Courtyard + pads,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/039__v7-fnd-courtyard-pads-adjacent,v7-fnd-courtyard-pads-adjacent,49,v8:train:v7-fnd-courtyard-pads-adjacent:0048,v7-dig:ceb18fefee496d56129e1ddab15966a5971ef4ce5bae6ceab8aa0292d6c64a1c,upper median dig area within training condition; slot breaks ties
terrain_geometry,Straight,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/040__v7-trn-straight-adjacent,v7-trn-straight-adjacent,45,v8:train:v7-trn-straight-adjacent:0044,v7-dig:6ae00a2d29fa8f17650b4cbaa4088b4a2eefd50b257a5fd48b210e110a6148c2,upper median dig area within training condition; slot breaks ties
terrain_geometry,Dog-leg,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/041__v7-trn-dogleg-adjacent,v7-trn-dogleg-adjacent,47,v8:train:v7-trn-dogleg-adjacent:0046,v7-dig:b63ade5d6e3e583e4875cd349dc417c951f5a00669e083d0815d13c012048562,upper median dig area within training condition; slot breaks ties
terrain_geometry,T junction,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/042__v7-trn-tee-adjacent,v7-trn-tee-adjacent,82,v8:train:v7-trn-tee-adjacent:0081,v7-dig:ff1e1030150e3d8ae9a8aa9ee1eda81e65d7d0a1f7f412772c319bc884491a7d,upper median dig area within training condition; slot breaks ties
terrain_geometry,Cross junction,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/043__v7-trn-cross-adjacent,v7-trn-cross-adjacent,71,v8:train:v7-trn-cross-adjacent:0070,v7-dig:832b6c78c40090d62d74aa650a2a68037b0837313d73e5f40d22967b3b5a0b3b,upper median dig area within training condition; slot breaks ties
terrain_geometry,Two-junction network,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/044__v7-trn-double-t-adjacent,v7-trn-double-t-adjacent,21,v8:train:v7-trn-double-t-adjacent:0020,v7-dig:7e258c707ea32ff04d0871b04c4a0bae0a6b047fc5d6cba9cf0dc1941439660d,upper median dig area within training condition; slot breaks ties
terrain_geometry,Three-junction network,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/045__v7-trn-network3-adjacent,v7-trn-network3-adjacent,44,v8:train:v7-trn-network3-adjacent:0043,v7-dig:6af05b61e5ba40a5c2908da6874e860b7b375cbb819b6a8f2acc035c7acba2ac,upper median dig area within training condition; slot breaks ties
terrain_geometry,Disconnected pair,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/046__v7-trn-disconnected-pair-adjacent,v7-trn-disconnected-pair-adjacent,82,v8:train:v7-trn-disconnected-pair-adjacent:0081,v7-dig:d7200f055288a051d7efecf160ae930e8f5cc72482a9172719a9fefe591b4078,upper median dig area within training condition; slot breaks ties
site_constraints,Surrounding dump support,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/010__fnd-slab-ring3x,fnd-slab-ring3x,23,curriculum-diverse-320-0128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,One-sided dumping,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/014__fnd-slab-side1,fnd-slab-side1,23,curriculum-diverse-320-10128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,Split dump zones,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/016__fnd-slab-split,fnd-slab-split,23,curriculum-diverse-320-11128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,Distant dump zone,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/007__fnd-slab-apron-d16,fnd-slab-apron-d16,23,curriculum-diverse-320-9128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,Sparse obstacles,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/012__fnd-slab-ring3x-obj1,fnd-slab-ring3x-obj1,23,curriculum-diverse-320-13128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,Multiple obstacles,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/011__fnd-slab-ring3x-obj,fnd-slab-ring3x-obj,23,curriculum-diverse-320-14128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,Traversable no-dump road,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/013__fnd-slab-ring3x-road,fnd-slab-ring3x-road,23,curriculum-diverse-320-15128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
site_constraints,One-sided dumping + obstacles,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/015__fnd-slab-side1-obj,fnd-slab-side1-obj,23,curriculum-diverse-320-17128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,shared foundation source; anchor has median training dig area
all_conditions,fnd-proc-ring3x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/000__fnd-proc-ring3x,fnd-proc-ring3x,56,curriculum-diverse-320-1277,dig:7cd1eb6186bbb3c2ae4ef412bc35beca04ead06e7338077d9fc1362a2cc8d563,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-proc-side1-road,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/001__fnd-proc-side1-road,fnd-proc-side1-road,56,curriculum-diverse-320-16277,dig:7cd1eb6186bbb3c2ae4ef412bc35beca04ead06e7338077d9fc1362a2cc8d563,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-c1p2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/002__fnd-slab-apron-c1p2,fnd-slab-apron-c1p2,23,curriculum-diverse-320-7128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-c1p6,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/003__fnd-slab-apron-c1p6,fnd-slab-apron-c1p6,23,curriculum-diverse-320-6128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
